path,label,group,n_rows,n_channels,src_axes,z_imputed,orig_name
circle/Arthur_F_lix__circle_arthur_54.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_54.csv
circle/Arthur_F_lix__circle_arthur_55.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_55.csv
circle/Arthur_F_lix__circle_arthur_56.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_56.csv
circle/Arthur_F_lix__circle_arthur_57.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_57.csv
circle/Arthur_F_lix__circle_arthur_58.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_58.csv
circle/Arthur_F_lix__circle_arthur_59.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_59.csv
circle/Arthur_F_lix__circle_arthur_6.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_6.csv
circle/Arthur_F_lix__circle_arthur_60.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_60.csv
circle/Arthur_F_lix__circle_arthur_61.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_61.csv
circle/Arthur_F_lix__circle_arthur_62.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_62.csv
circle/Arthur_F_lix__circle_arthur_63.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_63.csv
circle/Arthur_F_lix__circle_arthur_64.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_64.csv
circle/Arthur_F_lix__circle_arthur_65.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_65.csv
circle/Arthur_F_lix__circle_arthur_66.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_66.csv
circle/Arthur_F_lix__circle_arthur_67.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_67.csv
circle/Arthur_F_lix__circle_arthur_68.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_68.csv
circle/Arthur_F_lix__circle_arthur_69.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_69.csv
circle/Arthur_F_lix__circle_arthur_7.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_7.csv
circle/Arthur_F_lix__circle_arthur_70.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_70.csv
circle/Arthur_F_lix__circle_arthur_71.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_71.csv
circle/Arthur_F_lix__circle_arthur_72.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_72.csv
circle/Arthur_F_lix__circle_arthur_73.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_73.csv
circle/Arthur_F_lix__circle_arthur_74.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_74.csv
circle/Arthur_F_lix__circle_arthur_75.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_75.csv
circle/Arthur_F_lix__circle_arthur_76.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_76.csv
circle/Arthur_F_lix__circle_arthur_77.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_77.csv
circle/Arthur_F_lix__circle_arthur_78.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_78.csv
circle/Arthur_F_lix__circle_arthur_79.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_79.csv
circle/Arthur_F_lix__circle_arthur_8.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_8.csv
circle/Arthur_F_lix__circle_arthur_80.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_80.csv
circle/Arthur_F_lix__circle_arthur_81.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_81.csv
circle/Arthur_F_lix__circle_arthur_82.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_82.csv
circle/Arthur_F_lix__circle_arthur_83.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_83.csv
circle/Arthur_F_lix__circle_arthur_84.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_84.csv
circle/Arthur_F_lix__circle_arthur_85.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_85.csv
circle/Arthur_F_lix__circle_arthur_86.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_86.csv
circle/Arthur_F_lix__circle_arthur_87.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_87.csv
circle/Arthur_F_lix__circle_arthur_88.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_88.csv
circle/Arthur_F_lix__circle_arthur_89.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_89.csv
circle/Arthur_F_lix__circle_arthur_9.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_9.csv
circle/Arthur_F_lix__circle_arthur_90.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_90.csv
circle/Arthur_F_lix__circle_arthur_91.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_91.csv
circle/Arthur_F_lix__circle_arthur_92.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_92.csv
circle/Arthur_F_lix__circle_arthur_93.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_93.csv
circle/Arthur_F_lix__circle_arthur_94.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_94.csv
circle/Arthur_F_lix__circle_arthur_95.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_95.csv
circle/Arthur_F_lix__circle_arthur_96.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_96.csv
circle/Arthur_F_lix__circle_arthur_97.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_97.csv
circle/Arthur_F_lix__circle_arthur_98.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_98.csv
circle/Arthur_F_lix__circle_arthur_99.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_99.csv
circle/Clement_Charles_3__circle_clement_000.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_000.csv
circle/Clement_Charles_3__circle_clement_001.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_001.csv
circle/Clement_Charles_3__circle_clement_002.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_002.csv
circle/Clement_Charles_3__circle_clement_003.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_003.csv
circle/Clement_Charles_3__circle_clement_004.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_004.csv
circle/Clement_Charles_3__circle_clement_005.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_005.csv
circle/Clement_Charles_3__circle_clement_006.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_006.csv
circle/Clement_Charles_3__circle_clement_007.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_007.csv
circle/Clement_Charles_3__circle_clement_008.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_008.csv
circle/Clement_Charles_3__circle_clement_009.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_009.csv
circle/Clement_Charles_3__circle_clement_010.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_010.csv
circle/Clement_Charles_3__circle_clement_011.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_011.csv
circle/Clement_Charles_3__circle_clement_012.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_012.csv
circle/Clement_Charles_3__circle_clement_013.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_013.csv
circle/Clement_Charles_3__circle_clement_014.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_014.csv
circle/Clement_Charles_3__circle_clement_015.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_015.csv
circle/Clement_Charles_3__circle_clement_016.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_016.csv
circle/Clement_Charles_3__circle_clement_017.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_017.csv
circle/Clement_Charles_3__circle_clement_018.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_018.csv
circle/Clement_Charles_3__circle_clement_019.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_019.csv
circle/Clement_Charles_3__circle_clement_020.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_020.csv
circle/Clement_Charles_3__circle_clement_021.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_021.csv
circle/Clement_Charles_3__circle_clement_022.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_022.csv
circle/Clement_Charles_3__circle_clement_023.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_023.csv
circle/Clement_Charles_3__circle_clement_024.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_024.csv
circle/Clement_Charles_3__circle_clement_025.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_025.csv
circle/Clement_Charles_3__circle_clement_026.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_026.csv
circle/Clement_Charles_3__circle_clement_027.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_027.csv
circle/Clement_Charles_3__circle_clement_028.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_028.csv
circle/Clement_Charles_3__circle_clement_029.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_029.csv
circle/Clement_Charles_3__circle_clement_030.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_030.csv
circle/Clement_Charles_3__circle_clement_031.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_031.csv
circle/Clement_Charles_3__circle_clement_032.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_032.csv
circle/Clement_Charles_3__circle_clement_033.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_033.csv
circle/Clement_Charles_3__circle_clement_034.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_034.csv
circle/Clement_Charles_3__circle_clement_035.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_035.csv
circle/Clement_Charles_3__circle_clement_036.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_036.csv
circle/Clement_Charles_3__circle_clement_037.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_037.csv
circle/Clement_Charles_3__circle_clement_038.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_038.csv
circle/Clement_Charles_3__circle_clement_039.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_039.csv
circle/Clement_Charles_3__circle_clement_040.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_040.csv
circle/Clement_Charles_3__circle_clement_041.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_041.csv
circle/Clement_Charles_3__circle_clement_042.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_042.csv
circle/Clement_Charles_3__circle_clement_043.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_043.csv
circle/Clement_Charles_3__circle_clement_044.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_044.csv
circle/Clement_Charles_3__circle_clement_045.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_045.csv
circle/Clement_Charles_3__circle_clement_046.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_046.csv
circle/Clement_Charles_3__circle_clement_047.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_047.csv
circle/Clement_Charles_3__circle_clement_048.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_048.csv
circle/Clement_Charles_3__circle_clement_049.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_049.csv
circle/Clement_Charles_3__circle_clement_050.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_050.csv
circle/Clement_Charles_3__circle_clement_051.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_051.csv
circle/Clement_Charles_3__circle_clement_052.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_052.csv
circle/Clement_Charles_3__circle_clement_053.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_053.csv
circle/Clement_Charles_3__circle_clement_054.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_054.csv
circle/Clement_Charles_3__circle_clement_055.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_055.csv
circle/Clement_Charles_3__circle_clement_056.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_056.csv
circle/Clement_Charles_3__circle_clement_057.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_057.csv
circle/Clement_Charles_3__circle_clement_058.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_058.csv
circle/Clement_Charles_3__circle_clement_059.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_059.csv
circle/Clement_Charles_3__circle_clement_060.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_060.csv
circle/Clement_Charles_3__circle_clement_061.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_061.csv
circle/Clement_Charles_3__circle_clement_062.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_062.csv
circle/Clement_Charles_3__circle_clement_063.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_063.csv
circle/Clement_Charles_3__circle_clement_064.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_064.csv
circle/Clement_Charles_3__circle_clement_065.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_065.csv
circle/Clement_Charles_3__circle_clement_066.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_066.csv
circle/Clement_Charles_3__circle_clement_067.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_067.csv
circle/Clement_Charles_3__circle_clement_068.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_068.csv
circle/Clement_Charles_3__circle_clement_069.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_069.csv
circle/Clement_Charles_3__circle_clement_070.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_070.csv
circle/Clement_Charles_3__circle_clement_071.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_071.csv
circle/Clement_Charles_3__circle_clement_072.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_072.csv
circle/Clement_Charles_3__circle_clement_073.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_073.csv
circle/Clement_Charles_3__circle_clement_074.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_074.csv
circle/Clement_Charles_3__circle_clement_075.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_075.csv
circle/Clement_Charles_3__circle_clement_076.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_076.csv
circle/Clement_Charles_3__circle_clement_077.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_077.csv
circle/Clement_Charles_3__circle_clement_078.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_078.csv
circle/Clement_Charles_3__circle_clement_079.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_079.csv
circle/Clement_Charles_3__circle_clement_080.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_080.csv
circle/Clement_Charles_3__circle_clement_081.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_081.csv
circle/Clement_Charles_3__circle_clement_082.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_082.csv
circle/Clement_Charles_3__circle_clement_083.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_083.csv
circle/Clement_Charles_3__circle_clement_084.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_084.csv
circle/Clement_Charles_3__circle_clement_085.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_085.csv
circle/Clement_Charles_3__circle_clement_086.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_086.csv
circle/Clement_Charles_3__circle_clement_087.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_087.csv
circle/Clement_Charles_3__circle_clement_088.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_088.csv
circle/Clement_Charles_3__circle_clement_089.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_089.csv
circle/Clement_Charles_3__circle_clement_090.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_090.csv
circle/Clement_Charles_3__circle_clement_091.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_091.csv
circle/Clement_Charles_3__circle_clement_092.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_092.csv
circle/Clement_Charles_3__circle_clement_093.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_093.csv
circle/Clement_Charles_3__circle_clement_094.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_094.csv
circle/Clement_Charles_3__circle_clement_095.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_095.csv
circle/Clement_Charles_3__circle_clement_096.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_096.csv
circle/Clement_Charles_3__circle_clement_097.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_097.csv
circle/Clement_Charles_3__circle_clement_098.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_098.csv
circle/Clement_Charles_3__circle_clement_099.csv,circle,Clement_Charles_3,100,3,3,0,circle_clement_099.csv
circle/Ethan_PL__circle_ethan_pl_000.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_000.csv
circle/Ethan_PL__circle_ethan_pl_001.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_001.csv
circle/Ethan_PL__circle_ethan_pl_002.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_002.csv
circle/Ethan_PL__circle_ethan_pl_003.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_003.csv
circle/Ethan_PL__circle_ethan_pl_004.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_004.csv
circle/Ethan_PL__circle_ethan_pl_005.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_005.csv
circle/Ethan_PL__circle_ethan_pl_006.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_006.csv
circle/Ethan_PL__circle_ethan_pl_007.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_007.csv
circle/Ethan_PL__circle_ethan_pl_008.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_008.csv
circle/Ethan_PL__circle_ethan_pl_009.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_009.csv
circle/Ethan_PL__circle_ethan_pl_010.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_010.csv
circle/Ethan_PL__circle_ethan_pl_011.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_011.csv
circle/Ethan_PL__circle_ethan_pl_012.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_012.csv
circle/Ethan_PL__circle_ethan_pl_013.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_013.csv
circle/Ethan_PL__circle_ethan_pl_014.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_014.csv
circle/Ethan_PL__circle_ethan_pl_015.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_015.csv
circle/Ethan_PL__circle_ethan_pl_016.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_016.csv
circle/Ethan_PL__circle_ethan_pl_017.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_017.csv
circle/Ethan_PL__circle_ethan_pl_018.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_018.csv
circle/Ethan_PL__circle_ethan_pl_019.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_019.csv
circle/Ethan_PL__circle_ethan_pl_020.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_020.csv
circle/Ethan_PL__circle_ethan_pl_021.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_021.csv
circle/Ethan_PL__circle_ethan_pl_022.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_022.csv
circle/Ethan_PL__circle_ethan_pl_023.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_023.csv
circle/Ethan_PL__circle_ethan_pl_024.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_024.csv
circle/Ethan_PL__circle_ethan_pl_025.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_025.csv
circle/Ethan_PL__circle_ethan_pl_026.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_026.csv
circle/Ethan_PL__circle_ethan_pl_027.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_027.csv
circle/Ethan_PL__circle_ethan_pl_028.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_028.csv
circle/Ethan_PL__circle_ethan_pl_029.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_029.csv
circle/Ethan_PL__circle_ethan_pl_030.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_030.csv
circle/Ethan_PL__circle_ethan_pl_031.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_031.csv
circle/Ethan_PL__circle_ethan_pl_032.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_032.csv
circle/Ethan_PL__circle_ethan_pl_033.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_033.csv
circle/Ethan_PL__circle_ethan_pl_034.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_034.csv
circle/Ethan_PL__circle_ethan_pl_035.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_035.csv
circle/Ethan_PL__circle_ethan_pl_036.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_036.csv
circle/Ethan_PL__circle_ethan_pl_037.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_037.csv
circle/Ethan_PL__circle_ethan_pl_038.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_038.csv
circle/Ethan_PL__circle_ethan_pl_039.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_039.csv
circle/Ethan_PL__circle_ethan_pl_040.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_040.csv
circle/Ethan_PL__circle_ethan_pl_041.csv,circle,Ethan_PL,100,3,3,0,circle_ethan_pl_041.csv
